,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
1,12310953,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.351596066852 55.92593483647481),0,55.92593483647481,-120.351596066852
2,12310954,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.26072461348915 55.928172684511786),0,55.928172684511786,-120.26072461348915
4,12310956,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.60799762630674 56.03236873348571),0,56.03236873348571,-120.60799762630674
10,12310962,VERMILION ENERGY INC.,BRITISH COLUMBIA,POINT (-120.117681118745 56.07899143514987),0,56.07899143514987,-120.117681118745
11,12310963,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-122.17818240860619 56.978620990893596),0,56.978620990893596,-122.17818240860619
13,12310965,Whitecap Resources Inc.,BRITISH COLUMBIA,POINT (-120.04996215726585 56.280730952981074),0,56.280730952981074,-120.04996215726585
14,12310966,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.45076707627388 56.97810225300985),0,56.97810225300985,-122.45076707627388
15,12310967,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-121.68988567766333 56.28861629762722),0,56.28861629762722,-121.68988567766333
16,12310968,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.34763725493185 55.910066586386655),0,55.910066586386655,-120.34763725493185
18,12310970,Enercapita Energy Ltd.,BRITISH COLUMBIA,POINT (-120.25874027035835 56.62001870255959),0,56.62001870255959,-120.25874027035835
20,12310972,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.72766534988149 56.32569977474828),0,56.32569977474828,-120.72766534988149
22,12310974,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.56415849845105 55.658742274804375),0,55.658742274804375,-120.56415849845105
24,12310976,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.34741221215351 55.91689175789049),0,55.91689175789049,-120.34741221215351
30,12310982,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.232782109452 56.83939799150433),0,56.83939799150433,-122.232782109452
31,12310983,ConocoPhillips Canada Resources Corp.,BRITISH COLUMBIA,POINT (-121.55045768170487 56.64233495770302),0,56.64233495770302,-121.55045768170487
32,12310984,Pacific Canbriam Energy Limited,BRITISH COLUMBIA,POINT (-122.06419975621489 56.39823129550798),0,56.39823129550798,-122.06419975621489
