Project,Country,Gt CO2,Fuel
Upper Zakum,United Arab Emirates,6.44038252,OilGas
Bu Hasa,United Arab Emirates,4.915778525,OilGas
Bab,United Arab Emirates,4.197033055,OilGas
Lower Zakum,United Arab Emirates,2.434419542,OilGas
Umm Shaif/Nasr,United Arab Emirates,1.939252733,OilGas
Bab (Gasco),United Arab Emirates,1.674389775,OilGas
Asab,United Arab Emirates,1.373231334,OilGas
Vaca Muerta Shale,Argentina,5.177782001,OilGas
Goldwyer Shale,Australia,4.468806417,OilGas
Gorgon LNG T1-T3,Australia,1.931000175,OilGas
Velkerri Shale,Australia,1.058031183,OilGas
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,OilGas
Central Arabian Offshore,Bahrain,1.411444785,OilGas
Santos Offshore,Brazil,4.339841028,OilGas
Llandovery Shale,Brazil,4.273465065,OilGas
Buzios (x-Franco),Brazil,3.638233141,OilGas
Irati Shale,Brazil,2.695278585,OilGas
Lula (X-Tupi),Brazil,2.545775174,OilGas
Parnaiba Onshore,Brazil,1.998572969,OilGas
Libra,Brazil,1.891731555,OilGas
Candeias Shale,Brazil,1.641797865,OilGas
Campos Offshore,Brazil,1.560951299,OilGas
Mero (Libra NW),Brazil,1.287024055,OilGas
Montney Play,Canada,13.6884891,OilGas
"Spirit River (Notikewin, Falher, Wilrich)",Canada,2.976203115,OilGas
Horizon Oil Sands Project,Canada,1.989790706,OilGas
Kearl,Canada,1.901181774,OilGas
Duvernay,Canada,1.871369296,OilGas
Athabasca Oil Sands Project,Canada,1.355853264,OilGas
Christina Lake,Canada,1.232128944,OilGas
Liard Shale,Canada,1.201818384,OilGas
Syncrude Mildred Lake/Aurora,Canada,1.184050044,OilGas
Longmaxi Shale,China,5.691701535,OilGas
Changqing,China,4.939920283,OilGas
Daqing,China,2.601815792,OilGas
Cambrian/Silurian Marine Shale,China,2.367530441,OilGas
Longmaxi Shale (Sichuan/Changyu),China,2.20989992,OilGas
Tarim (CNPC),China,1.959883851,OilGas
Southeast Uplift Onshore Heilongjiang Province,China,1.750536451,OilGas
Shengli,China,1.50578136,OilGas
Oil shale China,China,1.385461449,OilGas
Xinjiang (CNPC),China,1.356420308,OilGas
Central Uplift Onshore Xinjiang Uygur Autonomous Region,China,1.04432647,OilGas
La Luna Shale,Colombia,1.616788836,OilGas
Tannezuft Shale,Algeria,2.347866837,OilGas
Hassi R'Mel (Domestic),Algeria,2.271542343,OilGas
Hassi Messaoud,Algeria,1.215923408,OilGas
Bowland Shale,United Kingdom,1.476082594,OilGas
Kronprins Christian Offshore,Denmark,2.23244534,OilGas
Greater Turbot (Stabroek),Guyana,1.114423675,OilGas
Greater Liza (Liza),Guyana,1.002783934,OilGas
East Natuna (x-Natuna D-Alpha),Indonesia,2.158541118,OilGas
Leviathan,Israel,1.060241772,OilGas
Barail Shale,India,2.141583711,OilGas
Rumaila North & South,Iraq,7.761609425,OilGas
Qurna West,Iraq,3.982828932,OilGas
Baghdad East,Iraq,2.742460925,OilGas
Central Arabian Onshore,Iraq,2.607423632,OilGas
Majnoon,Iraq,2.468342318,OilGas
Zubair,Iraq,1.679304399,OilGas
Qurna West-2,Iraq,1.598723281,OilGas
Halfayah,Iraq,1.409043856,OilGas
Nahr bin Umar,Iraq,1.277643431,OilGas
Ratawi,Iraq,1.065138744,OilGas
Basrah Gas project,Iraq,1.041154291,OilGas
Marun,Iran,2.408543885,OilGas
Azadegan,Iran,2.278016459,OilGas
Ahwaz Asmari,Iran,2.238284406,OilGas
Central Arabian Offshore,Iran,2.122142874,OilGas
Gachsaran,Iran,1.739296877,OilGas
Agha Jari,Iran,1.563110231,OilGas
Ahwaz Bangestan,Iran,1.433911709,OilGas
Pazanan,Iran,1.358409167,OilGas
South Pars (Phases 9-10) dry gas,Iran,1.265006303,OilGas
Kish Gas Project,Iran,1.193632598,OilGas
Pars Southwest,Iran,1.1092643,OilGas
South Pars (Phases 4-5) dry gas,Iran,1.100975522,OilGas
Mansouri Bangestan,Iran,1.045838888,OilGas
South Pars (Phases 22-24),Iran,1.04273081,OilGas
South Pars (Phases 20-21),Iran,1.017173226,OilGas
South Pars (Phases 2-3) dry gas,Iran,1.016274224,OilGas
Greater Burgan,Kuwait,8.341919008,OilGas
Project Kuwait,Kuwait,4.409493298,OilGas
Central Arabian Onshore,Kuwait,3.597522951,OilGas
Kashagan,Kazakhstan,5.086161261,OilGas
Tengiz,Kazakhstan,3.357866129,OilGas
Carboniferous Shale,Kazakhstan,1.287218515,OilGas
Karachaganak,Kazakhstan,1.207734375,OilGas
Sirte Shale,Libya,1.703281911,OilGas
El Sharara,Libya,1.00784607,OilGas
Eagle Ford Shale,Mexico,5.0680294,OilGas
Gulf Deepwater Offshore,Mexico,2.204840846,OilGas
Ku-Maloob-Zaap Project,Mexico,1.960224743,OilGas
Yucatan Platform Offshore,Mexico,1.025798315,OilGas
MZLNG Joint Development (T1-T2),Mozambique,1.310175723,OilGas
Area-1 Future Phases,Mozambique,1.022724356,OilGas
Area 1 LNG (T1&T2),Mozambique,1.006654597,OilGas
NLNG Base Project,Nigeria,1.033411352,OilGas
Troll,Norway,1.77210443,OilGas
Johan Sverdrup,Norway,1.073871982,OilGas
Khafji,Kuwait-Saudi-Arabia-Neutral Zone,1.439897189,OilGas
Sembar Shale,Pakistan,2.840236853,OilGas
Lublin Basin Silurian Shale,Poland,5.647084841,OilGas
North Field,Qatar,11.61275076,OilGas
North Field C LNG,Qatar,7.768105079,OilGas
North Field E,Qatar,4.594474423,OilGas
QatarGas LNG T8-T11 (NFE-East),Qatar,3.39497532,OilGas
Barzan,Qatar,3.094095108,OilGas
Central Arabian Onshore,Qatar,2.217231619,OilGas
Qatargas 2 LNG T4-T5,Qatar,1.828035431,OilGas
QatarGas LNG T12-T13 (NFE-South),Qatar,1.785210581,OilGas
Dolphin,Qatar,1.550235876,OilGas
Rasgas 2 LNG T3-T5,Qatar,1.509806372,OilGas
Rasgas 3 LNG T6-T7,Qatar,1.490692041,OilGas
QatarGas 1 LNG T1-T3,Qatar,1.283272558,OilGas
